Roll Type	3d6	4d6-low	5d6-2low	6d6-3low 
3	0.004608	0.000796	0.000142	2.3e-05
4	0.013691	0.003133	0.00066	0.00012
5	0.027544	0.007648	0.001949	0.000462
6	0.046352	0.016107	0.005147	0.001622
7	0.069435	0.029406	0.011644	0.004441
8	0.09716	0.048	0.021814	0.009539
9	0.115454	0.070578	0.037933	0.019699
10	0.124979	0.0939	0.060284	0.035995
11	0.124892	0.113764	0.085557	0.058206
12	0.116397	0.129128	0.11329	0.088841
13	0.097452	0.132612	0.13614	0.121172
14	0.06947	0.123515	0.1484	0.151267
15	0.046278	0.101143	0.142903	0.166174
16	0.02789	0.072459	0.119986	0.161738
17	0.0137	0.041757	0.078681	0.118449
18	0.004698	0.016054	0.03547	0.062252
